source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
eogs1,eomcc,0,-1,100000000,0.150,eth
eogs1,eopcc,0,-1,100000000,0.150,eth
eogs2,eomcc,0,-1,100000000,0.150,eth
eogs2,eopcc,0,-1,1000000000,0.010,fiber
eomcc,eogs1,0,-1,100000000,0.150,eth
eomcc,eogs2,0,-1,100000000,0.150,eth
eomcc,eopcc,0,-1,100000000,0.150,eth
eopcc,eogs1,0,-1,100000000,0.150,eth
eopcc,eogs2,0,-1,1000000000,0.010,fiber
eopcc,eomcc,0,-1,100000000,0.150,eth
eogs1,eosat,1271.538,1706.279,64000,0.057,low_ul
eosat,eogs1,1271.538,1706.279,8000000,0.057,low_dl
eosat,eogs2,9685.855,10098.031,10000000000,0.057,high_dl
eosat,eogs1,24608.805,25084.270,8000000,0.057,low_dl
eogs1,eosat,24608.805,25084.270,64000,0.057,low_ul
eosat,eogs1,47645.816,48108.653,8000000,0.057,low_dl
eogs1,eosat,47645.816,48108.653,64000,0.057,low_ul
eosat,eogs2,50963.519,51329.078,10000000000,0.057,high_dl
eogs1,eosat,70987.399,71434.973,64000,0.057,low_ul
eosat,eogs1,70987.399,71434.973,8000000,0.057,low_dl
eosat,eogs1,94557.260,95066.516,8000000,0.057,low_dl
eogs1,eosat,94557.260,95066.516,64000,0.057,low_ul
eosat,eogs2,97083.161,97527.717,10000000000,0.057,high_dl
eogs1,eosat,117825.747,118223.920,64000,0.057,low_ul
eosat,eogs1,117825.747,118223.920,8000000,0.057,low_dl
eosat,eogs2,138388.007,138794.521,10000000000,0.057,high_dl
eosat,eogs1,140822.989,141348.602,8000000,0.057,low_dl
eogs1,eosat,140822.989,141348.602,64000,0.057,low_ul
eosat,eogs1,164367.648,164754.460,8000000,0.057,low_dl
eogs1,eosat,164367.648,164754.460,64000,0.057,low_ul
eosat,eogs2,184484.958,184956.916,10000000000,0.057,high_dl
eogs1,eosat,187821.117,188356.847,64000,0.057,low_ul
eosat,eogs1,187861.117,188356.847,8000000,0.057,low_dl
eosat,eogs1,210996.657,211374.048,8000000,0.057,low_dl
eogs1,eosat,210996.657,211374.048,64000,0.057,low_ul
eosat,eogs2,225813.344,226254.691,10000000000,0.057,high_dl
eosat,eogs1,234076.189,234605.427,8000000,0.057,low_dl
eogs1,eosat,234076.189,234605.427,64000,0.057,low_ul
eosat,eogs1,257711.149,258124.567,8000000,0.057,low_dl
eogs1,eosat,257711.149,258124.567,64000,0.057,low_ul
eosat,eogs2,271891.296,272385.736,10000000000,0.057,high_dl
eogs1,eosat,281069.294,281565.569,64000,0.057,low_ul
eosat,eogs1,281069.294,281565.569,8000000,0.057,low_dl
eosat,eogs1,304133.124,304572.542,8000000,0.057,low_dl
eogs1,eosat,304133.124,304572.542,64000,0.057,low_ul
eosat,eogs2,313239.283,313709.703,10000000000,0.057,high_dl
eogs1,eosat,327409.010,327879.714,64000,0.057,low_ul
eosat,eogs1,327409.010,327879.714,8000000,0.057,low_dl
eogs1,eosat,351056.391,351497.065,64000,0.057,low_ul
eosat,eogs1,351056.391,351497.065,8000000,0.057,low_dl
eosat,eogs2,353589.191,353979.019,10000000000,0.057,high_dl
eogs1,eosat,374295.618,374713.964,64000,0.057,low_ul
eosat,eogs1,374295.618,374713.964,8000000,0.057,low_dl
eogs1,eosat,397293.610,397806.027,64000,0.057,low_ul
eosat,eogs1,397293.610,397806.027,8000000,0.057,low_dl
eosat,eogs2,400665.676,401159.620,10000000000,0.057,high_dl
eogs1,eosat,420788.044,421185.608,64000,0.057,low_ul
eosat,eogs1,420788.044,421185.608,8000000,0.057,low_dl
eosat,eogs2,440983.756,441409.080,10000000000,0.057,high_dl
eosat,eogs1,444275.306,444810.295,8000000,0.057,low_dl
eogs1,eosat,444275.306,444810.295,64000,0.057,low_ul
eosat,eogs1,467481.215,467854.778,8000000,0.057,low_dl
eogs1,eosat,467481.215,467685.000,64000,0.057,low_ul
eogs1,eosat,467689.000,467793.000,64000,0.057,low_ul
eogs1,eosat,467794.000,467832.000,64000,0.057,low_ul
eogs1,eosat,467836.000,467836.000,64000,0.057,low_ul
eogs1,eosat,467840.000,467846.000,64000,0.057,low_ul
eogs1,eosat,467849.000,467852.000,64000,0.057,low_ul
eogs1,eosat,467854.000,467854.778,64000,0.057,low_ul
eosat,eogs2,482272.365,482654.555,10000000000,0.057,high_dl
eosat,eogs1,490523.206,491058.456,8000000,0.057,low_dl
eogs1,eosat,490523.206,491058.456,64000,0.057,low_ul
eosat,eogs1,514146.601,514543.079,8000000,0.057,low_dl
eogs1,eosat,514146.601,514543.079,64000,0.057,low_ul
eosat,eogs2,528382.799,528473.000,10000000000,0.057,high_dl
eosat,eogs2,528474.000,528744.000,10000000000,0.057,high_dl
eosat,eogs2,528746.000,528811.000,10000000000,0.057,high_dl
eosat,eogs2,528815.000,528833.000,10000000000,0.057,high_dl
eosat,eogs2,528835.000,528838.562,10000000000,0.057,high_dl
eosat,eogs1,537528.076,538041.673,8000000,0.057,low_dl
eogs1,eosat,537528.076,538041.673,64000,0.057,low_ul
eosat,eogs1,560622.585,561039.262,8000000,0.057,low_dl
eogs1,eosat,560622.585,561039.262,64000,0.057,low_ul
eosat,eogs2,569697.221,570117.935,10000000000,0.057,high_dl
eogs1,eosat,583834.733,584326.959,64000,0.057,low_ul
eosat,eogs1,583834.733,584326.959,8000000,0.057,low_dl
eogs1,eosat,607453.464,607693.000,64000,0.057,low_ul
eogs1,eosat,607695.000,607913.000,64000,0.057,low_ul
eogs1,eosat,607917.000,607922.427,64000,0.057,low_ul
eosat,eogs1,607453.464,607922.427,8000000,0.057,low_dl
eosat,eogs2,615786.350,616267.605,10000000000,0.057,high_dl
eogs1,eosat,630762.100,631203.315,64000,0.057,low_ul
eosat,eogs1,630762.100,631203.315,8000000,0.057,low_dl
eogs1,eosat,653770.141,654264.931,64000,0.057,low_ul
eosat,eogs1,653770.141,654264.931,8000000,0.057,low_dl
eosat,eogs2,657122.814,657576.097,10000000000,0.057,high_dl
eosat,eogs1,677206.473,677621.400,8000000,0.057,low_dl
eogs1,eosat,677206.473,677621.400,64000,0.057,low_ul
eosat,eogs2,697494.216,697859.707,10000000000,0.057,high_dl
eogs1,eosat,700728.237,701256.783,64000,0.057,low_ul
eosat,eogs1,700728.237,701256.783,8000000,0.057,low_dl
