source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
eogs1,eosat,1271.538,1706.279,64000,0.057,low_ul
eosat,eogs1,1271.538,1706.279,8000000,0.057,low_dl
eosat,eogs2,4060.432,4243.728,10000000000,0.057,high_dl
eogs1,eosat,7126.258,7624.433,64000,0.057,low_ul
eosat,eogs1,7126.258,7624.433,8000000,0.057,low_dl
eosat,eogs2,9685.855,10098.031,10000000000,0.057,high_dl
eogs1,eosat,12964.759,13498.714,64000,0.057,low_ul
eosat,eogs1,12964.759,13498.714,8000000,0.057,low_dl
eosat,eogs2,15411.765,15932.094,10000000000,0.057,high_dl
eogs1,eosat,18792.402,19317.331,64000,0.057,low_ul
eosat,eogs1,18792.402,19317.331,8000000,0.057,low_dl
eosat,eogs2,21237.849,21760.268,10000000000,0.057,high_dl
eogs1,eosat,24608.805,25084.270,64000,0.057,low_ul
eosat,eogs1,24608.805,25084.270,8000000,0.057,low_dl
eosat,eogs2,27169.593,27582.077,10000000000,0.057,high_dl
eogs1,eosat,30407.820,30818.062,64000,0.057,low_ul
eosat,eogs1,30407.820,30818.062,8000000,0.057,low_dl
eosat,eogs2,33221.414,33376.639,10000000000,0.057,high_dl
eogs1,eosat,36177.553,36551.433,64000,0.057,low_ul
eosat,eogs1,36177.553,36551.433,8000000,0.057,low_dl
eogs1,eosat,41915.006,42314.323,64000,0.057,low_ul
eosat,eogs1,41915.006,42314.323,8000000,0.057,low_dl
eogs1,eosat,47645.816,48108.653,64000,0.057,low_ul
eosat,eogs1,47645.816,48108.653,8000000,0.057,low_dl
eosat,eogs2,50963.519,51329.078,10000000000,0.057,high_dl
eogs1,eosat,53404.362,53922.359,64000,0.057,low_ul
eosat,eogs1,53404.362,53922.359,8000000,0.057,low_dl
eosat,eogs2,56782.545,57288.219,10000000000,0.057,high_dl
eogs1,eosat,59212.157,59748.004,64000,0.057,low_ul
eosat,eogs1,59212.157,59748.004,8000000,0.057,low_dl
eosat,eogs2,62609.431,63140.417,10000000000,0.057,high_dl
