source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
lbcc,lrec1,0,-1,100000000,0.150,eth
lbcc,lrec2,0,-1,100000000,0.150,eth
lrcc,lrec1,0,-1,100000000,0.150,eth
lrcc,lrec2,0,-1,100000000,0.150,eth
lucc,lrec1,0,-1,100000000,0.150,eth
lucc,lrec2,0,-1,100000000,0.150,eth
lrec1,lbcc,0,-1,100000000,0.150,eth
lrec1,lrcc,0,-1,100000000,0.150,eth
lrec1,lucc,0,-1,100000000,0.150,eth
lrec1,lgs1,0,-1,100000000,0.150,eth
lrec1,lgs2,0,-1,100000000,0.150,eth
lrec1,lrec2,0,-1,100000000,0.150,eth
lrec2,lbcc,0,-1,100000000,0.150,eth
lrec2,lrcc,0,-1,100000000,0.150,eth
lrec2,lucc,0,-1,100000000,0.150,eth
lrec2,lgs1,0,-1,100000000,0.150,eth
lrec2,lgs2,0,-1,100000000,0.150,eth
lrec2,lrec1,0,-1,100000000,0.150,eth
lgs1,lrec1,0,-1,100000000,0.150,eth
lgs1,lrec2,0,-1,100000000,0.150,eth
lgs2,lrec1,0,-1,100000000,0.150,eth
lgs2,lrec2,0,-1,100000000,0.150,eth
lgs3,lrec1,0,-1,100000000,0.150,eth
lgs3,lrec2,0,-1,100000000,0.150,eth
lgw,lgwu,0,-1,100000000,0.150,eth
lgwu,lgw,0,-1,100000000,0.150,eth
lgw,lgs2,0.0,14856.927,1000000000,1.263,high_dl
lgs2,lgw,0.0,14856.927,300000000,1.263,low_ul
lre2,lgs2,0.0,16128.991,100000000,1.255,high_dl
lgs2,lre2,0.0,16128.991,300000000,1.255,low_ul
lrov,lre2,0.0,50789.95,150000000,0.098,low_ul
lre2,lrov,0.0,50789.95,1000000000,0.098,high_dl
lb,lgw,0.0,70324.935,150000000,0.187,low_ul
lgw,lb,0.0,70324.935,1000000000,0.187,high_dl
lgw,lgs3,14856.927,42953.596,100000000,1.273,high_dl
lgs3,lgw,14856.927,42953.596,300000000,1.273,low_ul
lre2,lgs3,16128.991,44276.81,100000000,1.265,high_dl
lgs3,lre2,16128.991,44276.81,300000000,1.265,low_ul
lre1,lgs1,37231.234,65959.127,100000000,1.226,high_dl
lgs1,lre1,37231.234,65959.127,300000000,1.226,low_ul
lgw,lgs1,42953.596,65699.077,100000000,1.262,high_dl
lgs1,lgw,42953.596,65699.077,300000000,1.262,low_ul
lre2,lgs2,57156.470,71760.000,100000000,1.246,high_dl
lre2,lgs2,71764.000,86393.744,100000000,1.246,high_dl
lgs2,lre2,57156.47,86393.744,300000000,1.246,low_ul
lgw,lgs2,65699.077,107351.427,1000000000,1.254,high_dl
lgs2,lgw,65699.077,107351.427,300000000,1.254,low_ul
lb,lre2,70324.935,88441.096,150000000,0.073,low_ul
lre2,lb,70324.935,88441.096,1000000000,0.073,high_dl
lrov,lre2,79870.945,139773.788,150000000,0.094,low_ul
lre2,lrov,79870.945,139773.788,1000000000,0.094,high_dl
lre2,lgs3,86393.744,134796.093,100000000,1.262,high_dl
lgs3,lre2,86393.744,134796.093,300000000,1.262,low_ul
lb,lgw,88441.096,622397.774,150000000,0.079,low_ul
lgw,lb,88441.096,622397.774,1000000000,0.079,high_dl
lgw,lgs3,107351.427,134505.205,100000000,1.249,high_dl
lgs3,lgw,107351.427,134505.205,300000000,1.249,low_ul
lre1,lgs1,127815.418,156176.672,100000000,1.225,high_dl
lgs1,lre1,127815.418,156176.672,300000000,1.225,low_ul
lgw,lgs1,134505.205,158357.258,100000000,1.263,high_dl
lgs1,lgw,134505.205,158357.258,300000000,1.263,low_ul
lre2,lgs2,147346.433,176785.186,100000000,1.242,high_dl
lgs2,lre2,147346.433,176785.186,300000000,1.242,low_ul
lgw,lgs2,158357.258,196090.209,1000000000,1.271,high_dl
lgs2,lgw,158357.258,196090.209,300000000,1.271,low_ul
lrov,lre2,175166.402,227513.654,150000000,0.101,low_ul
lre2,lrov,175166.402,227513.654,1000000000,0.101,high_dl
lre2,lgs3,176785.186,224856.805,100000000,1.263,high_dl
lgs3,lre2,176785.186,224856.805,300000000,1.263,low_ul
lgw,lgs3,196090.209,223361.411,100000000,1.283,high_dl
lgs3,lgw,196090.209,223361.411,300000000,1.283,low_ul
lre1,lgs1,217804.962,246890.623,100000000,1.23,high_dl
lgs1,lre1,217804.962,246890.623,300000000,1.23,low_ul
lgw,lgs1,223361.411,249197.91,100000000,1.298,high_dl
lgs1,lgw,223361.411,249197.91,300000000,1.298,low_ul
lre2,lgs2,238121.225,267418.463,100000000,1.245,high_dl
lgs2,lre2,238121.225,267418.463,300000000,1.245,low_ul
lgw,lgs2,249197.91,284569.181,1000000000,1.306,high_dl
lgs2,lgw,249197.91,284569.181,300000000,1.306,low_ul
lre2,lgs3,267418.463,314337.828,100000000,1.271,high_dl
lgs3,lre2,267418.463,314337.828,300000000,1.271,low_ul
lrov,lre2,269519.606,314678.351,150000000,0.104,low_ul
lre2,lrov,269519.606,314678.351,1000000000,0.104,high_dl
lgw,lgs3,284569.181,311969.199,100000000,1.316,high_dl
lgs3,lgw,284569.181,311969.199,300000000,1.316,low_ul
lre1,lgs1,307137.309,337790.174,100000000,1.242,high_dl
lgs1,lre1,307137.309,337790.174,300000000,1.242,low_ul
lgw,lgs1,311969.199,339384.52,100000000,1.327,high_dl
lgs1,lgw,311969.199,339384.52,300000000,1.327,low_ul
lre2,lgs2,329059.319,358050.976,100000000,1.255,high_dl
lgs2,lre2,329059.319,358050.976,300000000,1.255,low_ul
lgw,lgs2,339384.52,372955.713,1000000000,1.333,high_dl
lgs2,lgw,339384.52,372955.713,300000000,1.333,low_ul
lre2,lgs3,358050.976,398098.581,100000000,1.284,high_dl
lgs3,lre2,358050.976,398098.581,300000000,1.284,low_ul
lrov,lre2,362927.642,401559.082,150000000,0.104,low_ul
lre2,lrov,362927.642,401559.082,1000000000,0.104,high_dl
lgw,lgs3,372955.713,400502.203,100000000,1.34,high_dl
lgs3,lgw,372955.713,400502.203,300000000,1.34,low_ul
