source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
lgs2,lb,0.000,16550.650,50000000,1.235,dwe_ul
lb,lgs2,0.000,16550.650,250000000,1.235,dwe_dl
lgs3,lb,0.000,44134.441,50000000,1.246,dwe_ul
lb,lgs3,0.000,44134.441,250000000,1.246,dwe_dl
lgs2,lgw,0.000,14856.927,300000000,1.263,low_ul
lgw,lgs2,0.000,14856.927,1000000000,1.263,high_dl
lgs2,lre2,0.000,16128.991,300000000,1.255,low_ul
lre2,lgs2,0.000,16128.991,100000000,1.255,high_dl
lgs3,lgw,0.000,42953.596,300000000,1.273,low_ul
lgw,lgs3,0.000,42953.596,100000000,1.273,high_dl
lgs3,lre1,0.000,43529.380,300000000,1.249,low_ul
lre1,lgs3,0.000,43529.380,100000000,1.249,high_dl
lgs3,lre2,0.000,44276.810,300000000,1.265,low_ul
lre2,lgs3,0.000,44276.810,100000000,1.265,high_dl
lb,lgw,0.000,70324.935,150000000,0.187,low_ul
lgw,lb,0.000,70324.935,1000000000,0.187,high_dl
lb,lre2,0.000,50368.266,150000000,0.096,low_ul
lre2,lb,0.000,50368.266,1000000000,0.096,high_dl
lrov,lgw,0.000,6254.588,150000000,0.191,low_ul
lgw,lrov,0.000,6254.588,1000000000,0.191,high_dl
lrov,lre2,0.000,50789.950,150000000,0.098,low_ul
lre2,lrov,0.000,50789.950,1000000000,0.098,high_dl
lre2,lgw,0.000,55152.015,150000000,0.144,prox
lgw,lre2,0.000,55152.015,150000000,0.144,prox
lgw,lre2,0.000,55152.015,150000000,0.144,prox
lre2,lgw,0.000,55152.015,150000000,0.144,prox
lre1,lgw,1705.457,629710.352,150000000,0.200,prox
lgw,lre1,1705.457,629710.352,150000000,0.200,prox
lgw,lre1,1705.457,629710.352,150000000,0.200,prox
lre1,lgw,1705.457,629710.352,150000000,0.200,prox
lb,lre1,6987.347,78382.520,150000000,0.072,low_ul
lre1,lb,6987.347,78382.520,1000000000,0.072,high_dl
lgs1,lgw,36368.644,65699.077,300000000,1.262,low_ul
lgw,lgs1,36368.644,65699.077,100000000,1.262,high_dl
lgs1,lre1,37231.234,65959.127,300000000,1.226,low_ul
lre1,lgs1,37231.234,65959.127,100000000,1.226,high_dl
lgs1,lb,37901.498,65894.125,50000000,1.248,dwe_ul
lb,lgs1,37901.498,65894.125,250000000,1.248,dwe_dl
lgs2,lre2,57156.470,106718.177,300000000,1.246,low_ul
lre2,lgs2,57156.470,106718.177,100000000,1.246,high_dl
lgs2,lgw,57207.551,107351.427,300000000,1.254,low_ul
lgw,lgs2,57207.551,107351.427,1000000000,1.254,high_dl
lgs2,lb,57279.960,107252.000,50000000,1.248,dwe_ul
lb,lgs2,57279.960,107252.000,250000000,1.248,dwe_dl
lre2,lgw,57812.503,79605.523,150000000,0.118,prox
lgw,lre2,57812.503,79605.523,150000000,0.118,prox
lgw,lre2,57812.503,79605.523,150000000,0.118,prox
lre2,lgw,57812.503,79605.523,150000000,0.118,prox
lb,lre2,65569.402,136773.877,150000000,0.073,low_ul
lre2,lb,65569.402,136773.877,1000000000,0.073,high_dl
lrov,lre1,76699.695,84952.881,150000000,0.077,low_ul
lre1,lrov,76699.695,84952.881,1000000000,0.077,high_dl
lrov,lre2,79870.945,139773.788,150000000,0.094,low_ul
lre2,lrov,79870.945,139773.788,1000000000,0.094,high_dl
lre2,lgw,82168.040,144281.669,150000000,0.110,prox
lgw,lre2,82168.040,144281.669,150000000,0.110,prox
lgw,lre2,82168.040,144281.669,150000000,0.110,prox
lre2,lgw,82168.040,144281.669,150000000,0.110,prox
lgs3,lre1,86176.277,134036.227,300000000,1.253,low_ul
lre1,lgs3,86176.277,134036.227,100000000,1.253,high_dl
lgs3,lb,86290.441,134669.136,50000000,1.248,dwe_ul
lb,lgs3,86290.441,134669.136,250000000,1.248,dwe_dl
lgs3,lre2,86393.744,134796.093,300000000,1.262,low_ul
lre2,lgs3,86393.744,134796.093,100000000,1.262,high_dl
lgs3,lgw,86617.892,134505.205,300000000,1.249,low_ul
lgw,lgs3,86617.892,134505.205,100000000,1.249,high_dl
lb,lgw,88441.096,622397.774,150000000,0.079,low_ul
lgw,lb,88441.096,622397.774,1000000000,0.079,high_dl
lb,lre1,93365.555,164757.483,150000000,0.072,low_ul
lre1,lb,93365.555,164757.483,1000000000,0.072,high_dl
lgs1,lre1,127815.418,156176.672,300000000,1.225,low_ul
lre1,lgs1,127815.418,156176.672,100000000,1.225,high_dl
lgs1,lgw,128165.258,158357.258,300000000,1.263,low_ul
lgw,lgs1,128165.258,158357.258,100000000,1.263,high_dl
lgs1,lb,128528.568,156273.143,50000000,1.248,dwe_ul
lb,lgs1,128528.568,156273.143,250000000,1.248,dwe_dl
lre2,lgw,145886.464,230284.845,150000000,0.187,prox
lgw,lre2,145886.464,230284.845,150000000,0.187,prox
lgw,lre2,145886.464,230284.845,150000000,0.187,prox
lre2,lgw,145886.464,230284.845,150000000,0.187,prox
lgs2,lre2,147346.433,196817.820,300000000,1.242,low_ul
lre2,lgs2,147346.433,196817.820,100000000,1.242,high_dl
lgs2,lb,147608.949,197421.004,50000000,1.249,dwe_ul
lb,lgs2,147608.949,197421.004,250000000,1.249,dwe_dl
lgs2,lgw,149481.317,196090.209,300000000,1.271,low_ul
