source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mr1c,mrecc,0,-1,100000000,0.150,eth
mr2c,mrecc,0,-1,100000000,0.150,eth
mrecc,mr1c,0,-1,100000000,0.150,eth
mrecc,mr2c,0,-1,100000000,0.150,eth
mrecc,mrec1,0,-1,100000000,0.150,eth
mrecc,mrec2,0,-1,100000000,0.150,eth
mrec1,mrecc,0,-1,100000000,0.150,eth
mrec1,mrec2,0,-1,100000000,0.150,eth
mrec1,mgs1,0,-1,100000000,0.150,eth
mrec1,mgs2,0,-1,100000000,0.150,eth
mrec2,mrecc,0,-1,100000000,0.150,eth
mrec2,mrec1,0,-1,100000000,0.150,eth
mrec2,mgs1,0,-1,100000000,0.150,eth
mrec2,mgs2,0,-1,100000000,0.150,eth
mgs1,mrec1,0,-1,100000000,0.150,eth
mgs1,mrec2,0,-1,100000000,0.150,eth
mgs2,mrec1,0,-1,100000000,0.150,eth
mgs2,mrec2,0,-1,100000000,0.150,eth
mr2,mre3,0.000,1500.000,15000000,0.071,low_ul
mre3,mr2,0.000,1500.000,1000000,0.071,low_dl
mgs1,mre1,0.000,3015.578,1000000,1202.973,trunk
mre1,mgs1,0.000,3015.578,4000000,1202.973,trunk
mgs1,mre1,4366.745,10119.369,1000000,1202.961,trunk
mre1,mgs1,4366.745,10119.369,4000000,1202.961,trunk
mgs1,mre1,11464.912,17223.174,1000000,1202.924,trunk
mre1,mgs1,11464.912,17223.174,4000000,1202.924,trunk
mgs1,mre1,18563.058,24326.998,1000000,1202.891,trunk
mre1,mgs1,18563.058,24326.998,4000000,1202.891,trunk
mr1,mre3,19960.264,21460.264,15000000,0.076,low_ul
mre3,mr1,19960.264,21460.264,1000000,0.076,low_dl
mgs1,mre1,25661.174,31430.846,1000000,1202.862,trunk
mre1,mgs1,25661.174,31430.846,4000000,1202.862,trunk
mr2,mre2,27807.462,28340.633,15000000,0.053,low_ul
mre2,mr2,27807.462,28340.633,1000000,0.053,low_dl
mgs2,mre3,32628.632,47028.632,1000000,1202.814,trunk
mre3,mgs2,32628.632,47028.632,4000000,1202.814,trunk
mgs1,mre1,32759.258,38260.947,1000000,1202.837,trunk
mre1,mgs1,32759.258,38260.947,4000000,1202.837,trunk
mr1,mre1,35703.055,36104.313,15000000,0.054,low_ul
mre1,mr1,35703.055,36104.313,1000000,0.054,low_dl
mr2,mre3,39140.633,40640.633,15000000,0.076,low_ul
mre3,mr2,39140.633,40640.633,1000000,0.076,low_dl
mgs2,mre2,52253.540,56647.598,1000000,1202.749,trunk
mre2,mgs2,52253.540,56647.598,4000000,1202.749,trunk
mr1,mre3,56144.287,57644.287,15000000,0.076,low_ul
mre3,mr1,56144.287,57644.287,1000000,0.076,low_dl
mr2,mre3,67537.798,69037.798,15000000,0.076,low_ul
mre3,mr2,67537.798,69037.798,1000000,0.076,low_dl
mr1,mre1,73768.610,74496.707,15000000,0.054,low_ul
mre1,mr1,73768.610,74496.707,1000000,0.054,low_dl
mgs1,mre3,80272.185,94672.185,1000000,1202.598,trunk
mre3,mgs1,80272.185,94672.185,4000000,1202.598,trunk
mr1,mre3,94752.217,96252.217,15000000,0.076,low_ul
mre3,mr1,94752.217,96252.217,1000000,0.076,low_dl
mgs1,mre1,96640.752,102470.842,1000000,1202.533,trunk
mre1,mgs1,96640.752,102470.842,4000000,1202.533,trunk
mgs1,mre1,103738.591,109574.952,1000000,1202.498,trunk
mre1,mgs1,103738.591,109574.952,4000000,1202.498,trunk
mr2,mre3,104830.525,106330.525,15000000,0.076,low_ul
mre3,mr2,104830.525,106330.525,1000000,0.076,low_dl
mgs1,mre1,110836.397,116679.091,1000000,1202.468,trunk
mre1,mgs1,110836.397,116679.091,4000000,1202.468,trunk
mgs1,mre1,117934.165,123783.265,1000000,1202.441,trunk
mre1,mgs1,117934.165,123783.265,4000000,1202.441,trunk
mgs2,mre3,118967.733,133367.733,1000000,1202.455,trunk
mre3,mgs2,118967.733,133367.733,4000000,1202.455,trunk
mr1,mre1,120676.476,121409.057,15000000,0.054,low_ul
mre1,mr1,120676.476,121409.057,1000000,0.054,low_dl
mr1,mre3,132209.057,133709.057,15000000,0.076,low_ul
mre3,mr1,132209.057,133709.057,1000000,0.076,low_dl
mgs2,mre2,139466.333,143719.606,1000000,1202.344,trunk
mre2,mgs2,139466.333,143719.606,4000000,1202.344,trunk
mr2,mre3,141701.204,143201.204,15000000,0.076,low_ul
mre3,mr2,141701.204,143201.204,1000000,0.076,low_dl
mr1,mre1,158963.778,159603.109,15000000,0.054,low_ul
mre1,mr1,158963.778,159603.109,1000000,0.054,low_dl
mr2,mre2,164737.021,165056.505,15000000,0.053,low_ul
mre2,mr2,164737.021,165056.505,1000000,0.053,low_dl
mgs1,mre3,166646.252,181046.252,1000000,1202.199,trunk
mre3,mgs1,166646.252,181046.252,4000000,1202.199,trunk
mr1,mre3,170403.109,171903.109,15000000,0.076,low_ul
mre3,mr1,170403.109,171903.109,1000000,0.076,low_dl
mr2,mre3,180792.284,182292.284,15000000,0.076,low_ul
mre3,mr2,180792.284,182292.284,1000000,0.076,low_dl
mgs1,mre1,181812.530,187722.325,1000000,1202.133,trunk
mre1,mgs1,181812.530,187722.325,4000000,1202.133,trunk
mgs1,mre1,188909.994,194826.790,1000000,1202.097,trunk
mre1,mgs1,188909.994,194826.790,4000000,1202.097,trunk
mgs1,mre1,196007.419,201931.290,1000000,1202.066,trunk
mre1,mgs1,196007.419,201931.290,4000000,1202.066,trunk
mr2,mre2,202410.877,202662.468,15000000,0.053,low_ul
mre2,mr2,202410.877,202662.468,1000000,0.053,low_dl
mgs1,mre1,203104.800,209035.832,1000000,1202.038,trunk
mre1,mgs1,203104.800,209035.832,4000000,1202.038,trunk
mgs2,mre3,205306.230,219706.230,1000000,1202.051,trunk
mre3,mgs2,205306.230,219706.230,4000000,1202.051,trunk
mr1,mre1,205893.787,206515.405,15000000,0.054,low_ul
mre1,mr1,205893.787,206515.405,1000000,0.054,low_dl
mr2,mre3,217147.698,218647.698,15000000,0.076,low_ul
mre3,mr2,217147.698,218647.698,1000000,0.076,low_dl
mr1,mre3,217315.405,218815.405,15000000,0.076,low_ul
mre3,mr1,217315.405,218815.405,1000000,0.076,low_dl
mgs2,mre2,226679.072,230109.304,1000000,1201.930,trunk
mre2,mgs2,226679.072,230109.304,4000000,1201.930,trunk
mr1,mre3,244099.535,245599.535,15000000,0.076,low_ul
mre3,mr1,244099.535,245599.535,1000000,0.076,low_dl
mr2,mre2,251890.248,252366.980,15000000,0.053,low_ul
mre2,mr2,251890.248,252366.980,1000000,0.053,low_dl
mgs1,mre3,253021.103,267421.103,1000000,1201.826,trunk
mre3,mgs1,253021.103,267421.103,4000000,1201.826,trunk
mr2,mre3,263166.980,264666.980,15000000,0.076,low_ul
mre3,mr2,263166.980,264666.980,1000000,0.076,low_dl
mgs1,mre1,274076.263,280083.524,1000000,1201.688,trunk
mre1,mgs1,274076.263,280083.524,4000000,1201.688,trunk
mgs1,mre1,281173.206,287188.488,1000000,1201.655,trunk
mre1,mgs1,281173.206,287188.488,4000000,1201.655,trunk
mr1,mre3,283553.959,285053.959,15000000,0.076,low_ul
mre3,mr1,283553.959,285053.959,1000000,0.076,low_dl
mgs1,mre1,288270.094,294293.505,1000000,1201.626,trunk
mre1,mgs1,288270.094,294293.505,4000000,1201.626,trunk
mgs2,mre3,291642.206,306042.206,1000000,1201.594,trunk
mre3,mgs2,291642.206,306042.206,4000000,1201.594,trunk
mr2,mre3,292781.814,294281.814,15000000,0.076,low_ul
mre3,mr2,292781.814,294281.814,1000000,0.076,low_dl
mgs1,mre1,295366.920,297317.915,1000000,1201.599,trunk
mre1,mgs1,295366.920,297317.915,4000000,1201.599,trunk
mr1,mre1,298216.046,298942.241,15000000,0.054,low_ul
mre1,mr1,298216.046,298942.241,1000000,0.054,low_dl
mgs2,mre2,307183.093,311546.582,1000000,1201.537,trunk
mre2,mgs2,307183.093,311546.582,4000000,1201.537,trunk
mgs2,mre2,313891.758,316500.257,1000000,1201.508,trunk
mre2,mgs2,313891.758,316500.257,4000000,1201.508,trunk
mr1,mre3,319739.197,321239.197,15000000,0.076,low_ul
mre3,mr1,319739.197,321239.197,1000000,0.076,low_dl
mr2,mre3,330775.233,332275.233,15000000,0.076,low_ul
mre3,mr2,330775.233,332275.233,1000000,0.076,low_dl
mr1,mre1,336490.847,337150.340,15000000,0.054,low_ul
mre1,mr1,336490.847,337150.340,1000000,0.054,low_dl
mgs1,mre1,339396.868,344030.248,1000000,1201.379,trunk
mre1,mgs1,339396.868,344030.248,4000000,1201.379,trunk
mgs1,mre1,345043.112,351135.683,1000000,1201.351,trunk
mre1,mgs1,345043.112,351135.683,4000000,1201.351,trunk
mgs1,mre1,352139.528,358241.161,1000000,1201.309,trunk
mre1,mgs1,352139.528,358241.161,4000000,1201.309,trunk
mr1,mre3,358002.100,359502.100,15000000,0.076,low_ul
mre3,mr1,358002.100,359502.100,1000000,0.076,low_dl
mgs1,mre1,359235.892,365346.690,1000000,1201.271,trunk
mre1,mgs1,359235.892,365346.690,4000000,1201.271,trunk
